Make,Type,DiaInMm,LengthInMm,PartNo
SOLID,UNGROUND,6,50,SUG06050
SOLID,UNGROUND,6,60,SUG06060
SOLID,UNGROUND,6,70,SUG06070
SOLID,UNGROUND,6,80,SUG06080
SOLID,UNGROUND,6,90,SUG06090
SOLID,UNGROUND,6,100,SUG06100
SOLID,UNGROUND,6,110,SUG06110
SOLID,UNGROUND,6,120,SUG06120
SOLID,UNGROUND,6,130,SUG06130
SOLID,UNGROUND,6,140,SUG06140
SOLID,UNGROUND,6,150,SUG06150
SOLID,UNGROUND,6,160,SUG06160
SOLID,UNGROUND,6,170,SUG06170
SOLID,UNGROUND,6,180,SUG06180
SOLID,UNGROUND,6,190,SUG06190
SOLID,UNGROUND,6,200,SUG06200
SOLID,UNGROUND,6,210,SUG06210
SOLID,UNGROUND,6,220,SUG06220
SOLID,UNGROUND,6,230,SUG06230
SOLID,UNGROUND,6,240,SUG06240
SOLID,UNGROUND,6,250,SUG06250
SOLID,UNGROUND,6,330,SUG06330
SOLID,UNGROUND,7,50,SUG07050
SOLID,UNGROUND,7,60,SUG07060
SOLID,UNGROUND,7,70,SUG07070
SOLID,UNGROUND,7,80,SUG07080
SOLID,UNGROUND,7,90,SUG07090
SOLID,UNGROUND,7,100,SUG07100
SOLID,UNGROUND,7,110,SUG07110
SOLID,UNGROUND,7,120,SUG07120
SOLID,UNGROUND,7,130,SUG07130
SOLID,UNGROUND,7,140,SUG07140
SOLID,UNGROUND,7,150,SUG07150
SOLID,UNGROUND,7,160,SUG07160
SOLID,UNGROUND,7,170,SUG07170
SOLID,UNGROUND,7,180,SUG07180
SOLID,UNGROUND,7,190,SUG07190
SOLID,UNGROUND,7,200,SUG07200
SOLID,UNGROUND,7,210,SUG07210
SOLID,UNGROUND,7,220,SUG07220
SOLID,UNGROUND,7,230,SUG07230
SOLID,UNGROUND,7,240,SUG07240
SOLID,UNGROUND,7,250,SUG07250
SOLID,UNGROUND,7,330,SUG07330
SOLID,UNGROUND,8,50,SUG08050
SOLID,UNGROUND,8,60,SUG08060
SOLID,UNGROUND,8,70,SUG08070
SOLID,UNGROUND,8,80,SUG08080
SOLID,UNGROUND,8,90,SUG08090
SOLID,UNGROUND,8,100,SUG08100
SOLID,UNGROUND,8,110,SUG08110
SOLID,UNGROUND,8,120,SUG08120
SOLID,UNGROUND,8,130,SUG08130
SOLID,UNGROUND,8,140,SUG08140
SOLID,UNGROUND,8,150,SUG08150
SOLID,UNGROUND,8,160,SUG08160
SOLID,UNGROUND,8,170,SUG08170
SOLID,UNGROUND,8,180,SUG08180
SOLID,UNGROUND,8,190,SUG08190
SOLID,UNGROUND,8,200,SUG08200
SOLID,UNGROUND,8,210,SUG08210
SOLID,UNGROUND,8,220,SUG08220
SOLID,UNGROUND,8,230,SUG08230
SOLID,UNGROUND,8,240,SUG08240
SOLID,UNGROUND,8,250,SUG08250
SOLID,UNGROUND,8,330,SUG08330
SOLID,UNGROUND,9,50,SUG09050
SOLID,UNGROUND,9,60,SUG09060
SOLID,UNGROUND,9,70,SUG09070
SOLID,UNGROUND,9,80,SUG09080
SOLID,UNGROUND,9,90,SUG09090
SOLID,UNGROUND,9,100,SUG09100
SOLID,UNGROUND,9,110,SUG09110
SOLID,UNGROUND,9,120,SUG09120
SOLID,UNGROUND,9,130,SUG09130
SOLID,UNGROUND,9,140,SUG09140
SOLID,UNGROUND,9,150,SUG09150
